,propbank,verbatlas
944,consider.01.2009,va:0021f
945,consider.02,va:0074f
946,consign.01,va:0083f
947,consist.01,va:0104f
948,console.01,va:0573f
949,consolidate.01,va:0434f
950,consort.01,va:0264f
951,conspire.01,va:0217f
952,constitute.01,va:0082f
953,constrain.01,va:0126f
954,constrict.01,va:0469f
955,construct.01,va:0483f
956,construe.01,va:0236f
957,consult.01,va:0336f
958,consume.01,va:0135f
959,consummate.01,va:0157f
960,contact.01,va:0066f
961,contain.01,va:0039f
962,contaminate.01,va:0437f
963,contemplate.01,va:0131f
964,contemporize.01,va:0157f
965,contend.01,va:0424f
966,contend.02,va:0410f
967,content.01,va:0582f
968,contest.01,va:0602f
969,continue.01,va:0114f
970,continue.02,va:0009f
971,contract.01,va:0241f
972,contract.02,va:0298f
973,contract.03,va:0298f
974,contract.04,va:0138f
975,contradict.01,va:0333f
976,contrast.01,va:0627f
977,contravene.01,va:0356f
978,contribute.01,va:0496f
979,control.01,va:0384f
980,convene.01,va:0067f
981,converge.01,va:0137f
982,converse.01,va:0009f
983,convert.01,va:0248f
984,convey.01,va:0177f
985,convict.01,va:0130f
986,convince.01,va:0086f
987,convoke.01,va:0067f
988,convolute.01,va:0622f
989,convulse.01,va:0469f
990,coo.01,va:0240f
991,cook.01,va:0462f
992,cook.02,va:0111f
993,cook.03,va:0382f
994,cool.01,va:0454f
995,cool.02,va:0454f
996,cool.03,va:0454f
997,cooperate.01,va:0217f
998,coordinate.01,va:0188f
999,cop.01,va:0239f
1000,cope.01,va:0373f
1001,copy.01,va:0587f
1002,copy.02,va:0587f
1003,copyright.01,va:0251f
1004,cork.01,va:0212f
1005,corner.01,va:0384f
1006,corral.01,va:0420f
1007,correct.01,va:0091f
1008,correspond.01,va:0066f
1009,correspond.02,va:0527f
1010,corroborate.01,va:0024f
1011,cosset.01,va:0311f
1012,cost.01,va:0512f
1013,costume.01,va:0496f
1014,couch.01,va:0009f
1015,cough.01,va:0160f
1016,cough.03,va:0189f
1017,counsel.01,va:0318f
1018,count.01,va:0379f
1019,count.02,va:0082f
1020,count.03,va:0049f
1021,count.04,va:0104f
1022,countenance.01,va:0011f
1023,counter.01,va:0325f
1024,counteract.01,va:0326f
1025,counterattack.01,va:0204f
1026,counterbalance.01,va:0266f
1027,countervail.01,va:0266f
1028,couple.01,va:0580f
1029,course.01,va:0175f
1030,court.01,va:0205f
1031,cover.01,va:0082f
1032,cover.02,va:0249f
1033,cover.03,va:0122f
1034,cover.04,va:0473f
1035,covet.01,va:0032f
1036,cower.01,va:0582f
1037,cowrite.01,va:0382f
1038,crack.01,va:0240f
